Photon Energy,Absorption
4.94,-15.22
4.94,-15.24
4.95,-15.26
4.95,-15.29
4.95,-15.31
4.95,-15.33
4.96,-15.36
4.96,-15.38
4.96,-15.41
4.96,-15.44
4.97,-15.46
4.97,-15.49
4.97,-15.52
4.97,-15.55
4.98,-15.59
4.98,-15.62
4.98,-15.65
4.98,-15.68
4.99,-15.71
4.99,-15.75
4.99,-15.78
4.99,-15.82
5.00,-15.85
5.00,-15.88
5.00,-15.92
5.00,-15.95
5.01,-15.99
5.01,-16.02
5.01,-16.06
5.01,-16.09
5.02,-16.12
5.02,-16.16
5.02,-16.19
5.02,-16.22
5.03,-16.25
5.03,-16.29
5.03,-16.32
5.03,-16.35
5.04,-16.38
5.04,-16.40
5.04,-16.43
5.04,-16.46
5.05,-16.48
5.05,-16.51
5.05,-16.53
5.05,-16.56
5.06,-16.58
5.06,-16.60
5.06,-16.62
5.06,-16.64
5.07,-16.66
5.07,-16.68
5.07,-16.69
5.07,-16.71
5.08,-16.72
5.08,-16.74
5.08,-16.75
5.08,-16.76
5.09,-16.77
5.09,-16.78
5.09,-16.79
5.09,-16.80
5.10,-16.81
5.10,-16.81
5.10,-16.82
5.10,-16.82
5.11,-16.83
5.11,-16.83
5.11,-16.84
5.11,-16.84
5.12,-16.84
5.12,-16.84
5.12,-16.84
5.12,-16.84
5.13,-16.85
5.13,-16.85
5.13,-16.85
5.13,-16.85
5.14,-16.85
5.14,-16.85
5.14,-16.85
5.14,-16.85
5.15,-16.85
5.15,-16.85
5.15,-16.85
5.15,-16.85
5.16,-16.85
5.16,-16.85
5.16,-16.85
5.16,-16.85
5.17,-16.85
5.17,-16.86
5.17,-16.86
5.17,-16.86
5.18,-16.87
5.18,-16.87
5.18,-16.88
5.18,-16.88
5.19,-16.89
5.19,-16.90
5.19,-16.90
5.19,-16.91
5.20,-16.92
5.20,-16.93
5.20,-16.94
5.20,-16.95
5.21,-16.96
5.21,-16.97
5.21,-16.98
5.21,-16.99
5.22,-17.01
5.22,-17.02
5.22,-17.03
5.22,-17.05
5.23,-17.06
5.23,-17.07
5.23,-17.09
5.23,-17.10
5.24,-17.11
5.24,-17.13
5.24,-17.14
5.24,-17.16
5.25,-17.17
5.25,-17.18
5.25,-17.20
5.25,-17.21
5.26,-17.22
5.26,-17.23
5.26,-17.24
5.26,-17.25
5.27,-17.27
5.27,-17.27
5.27,-17.28
5.27,-17.29
5.28,-17.30
5.28,-17.30
5.28,-17.31
5.28,-17.31
5.29,-17.32
5.29,-17.32
5.29,-17.32
5.29,-17.32
5.30,-17.32
5.30,-17.32
5.30,-17.31
5.30,-17.31
5.31,-17.30
5.31,-17.30
5.31,-17.29
5.31,-17.28
5.32,-17.27
5.32,-17.26
5.32,-17.24
5.32,-17.23
5.33,-17.21
5.33,-17.19
5.33,-17.17
5.33,-17.15
5.34,-17.13
5.34,-17.11
5.34,-17.09
5.34,-17.06
5.35,-17.03
5.35,-17.01
5.35,-16.98
5.35,-16.95
5.36,-16.92
5.36,-16.88
5.36,-16.85
5.36,-16.81
5.37,-16.78
5.37,-16.74
5.37,-16.70
5.37,-16.66
5.38,-16.62
5.38,-16.58
5.38,-16.54
5.38,-16.50
5.39,-16.45
5.39,-16.41
5.39,-16.36
5.39,-16.31
5.40,-16.27
5.40,-16.22
5.40,-16.17
5.40,-16.12
5.41,-16.07
5.41,-16.02
5.41,-15.97
5.41,-15.91
5.42,-15.86
5.42,-15.81
5.42,-15.75
5.42,-15.70
5.43,-15.64
5.43,-15.59
5.43,-15.53
5.43,-15.47
5.44,-15.42
5.44,-15.36
5.44,-15.30
5.44,-15.24
5.45,-15.18
5.45,-15.12
5.45,-15.06
5.45,-15.00
5.46,-14.94
5.46,-14.88
5.46,-14.82
5.46,-14.76
5.47,-14.70
5.47,-14.64
5.47,-14.58
5.47,-14.51
5.48,-14.45
5.48,-14.39
5.48,-14.33
5.48,-14.26
5.49,-14.20
5.49,-14.14
5.49,-14.08
5.49,-14.01
5.50,-13.95
5.50,-13.89
5.50,-13.82
5.50,-13.76
5.51,-13.70
5.51,-13.63
5.51,-13.57
5.51,-13.51
5.52,-13.44
5.52,-13.38
5.52,-13.32
5.52,-13.25
5.53,-13.19
5.53,-13.13
5.53,-13.07
5.53,-13.00
5.54,-12.94
5.54,-12.88
5.54,-12.81
5.54,-12.75
5.55,-12.69
5.55,-12.63
5.55,-12.57
5.55,-12.50
5.56,-12.44
5.56,-12.38
5.56,-12.32
5.56,-12.26
5.57,-12.20
5.57,-12.14
5.57,-12.07
5.57,-12.01
5.58,-11.95
5.58,-11.89
5.58,-11.83
5.58,-11.77
5.59,-11.72
5.59,-11.66
5.59,-11.60
5.59,-11.54
5.60,-11.48
5.60,-11.42
5.60,-11.37
5.60,-11.31
5.61,-11.25
5.61,-11.19
5.61,-11.14
5.61,-11.08
5.62,-11.03
5.62,-10.97
5.62,-10.92
5.62,-10.86
5.63,-10.81
5.63,-10.75
5.63,-10.70
5.63,-10.64
5.64,-10.59
5.64,-10.54
5.64,-10.49
5.64,-10.43
5.65,-10.38
5.65,-10.33
5.65,-10.28
5.65,-10.23
5.66,-10.18
5.66,-10.13
5.66,-10.08
5.66,-10.03
5.67,-9.99
5.67,-9.94
5.67,-9.89
5.67,-9.84
5.68,-9.80
5.68,-9.75
5.68,-9.70
5.68,-9.66
5.69,-9.61
5.69,-9.57
5.69,-9.52
5.69,-9.48
5.70,-9.44
5.70,-9.39
5.70,-9.35
